Watershed,Plot number,North deg.,North min.,North sec.,East deg.,East min.,East sec.,Bearing trans A,Bearing trans B,Bearing of trans C,LATITUDE,LONGITUDE,Notes
2C,1,39,4,10.07,96,34,47.81,250,10,130,39.06946389,-96.57994722,
2C,2,39,4,9.32,96,34,45.89,335,95,215,39.06925556,-96.57941389,
2C,3,39,4,8.17,96,34,42.72,80,200,320,39.06893611,-96.57853333,
2C,4,39,4,6.71,96,34,40.41,85,205,325,39.06853056,-96.57789167,
2C,5,39,4,4.42,96,34,42.49,345,105,225,39.06789444,-96.57846944,
2C,6,39,4,5.3,96,34,44.55,0,120,240,39.06813889,-96.57904167,
2C,7,39,4,4.77,96,34,46.47,40,160,280,39.06799167,-96.579575,
2C,8,39,4,3.32,96,34,48.67,190,280,70,39.06758889,-96.58018611,Alterred angles to fit plot
2C,9,39,4,4.53,96,34,50.48,225,320,65,39.067925,-96.58068889,Alterred angles to fit plot
2C,10,39,4,5.67,96,34,49.36,185,305,65,39.06824167,-96.58037778,
2C,11,39,4,6.93,96,34,48.3,35,155,275,39.06859167,-96.58008333,
2C,12,39,4,7.03,96,34,46.13,0,120,24,39.06861944,-96.57948056,
2D,1,39,4,45.02,96,33,29.45,335,95,215,39.07917222,-96.55818056,
2D,2,39,4,40.13,96,33,32.08,150,270,30,39.07781389,-96.55891111,
2D,3,39,4,36.91,96,33,33.55,65,185,305,39.07691944,-96.55931944,
2D,4,39,4,33.67,96,33,35.2,15,135,255,39.07601944,-96.55977778,
2D,5,39,4,28.53,96,33,36.57,315,75,195,39.07459167,-96.56015833,
2D,6,39,4,30.91,96,33,30.73,270,30,150,39.07525278,-96.55853611,
2D,7,39,4,34.48,96,33,28.76,145,265,25,39.07624444,-96.55798889,
2D,8,39,4,37.11,96,33,27,220,340,100,39.076975,-96.5575,
2D,9,39,4,40.54,96,33,29.9,15,135,255,39.07792778,-96.55830556,
2D,10,39,4,45.59,96,33,25.1,190,310,70,39.07933056,-96.55697222,
2D,11,39,4,35.44,96,33,26.91,290,50,170,39.07651111,-96.557475,
2D,12,39,4,26.65,96,33,32.19,195,315,75,39.07406944,-96.55894167,
K2A,1,39,5,49.89,96,34,1.79,335,95,215,39.09719167,-96.56716389,
K2A,2,39,5,49.21,96,34,6.12,100,220,340,39.09700278,-96.56836667,
K2A,3,39,5,48.98,96,34,7.8,130,250,10,39.09693889,-96.56883333,
K2A,4,39,5,47.69,96,34,8.97,240,0,120,39.09658056,-96.56915833,
K2A,5,39,5,55.61,96,34,57.26,105,225,345,39.09878056,-96.58257222,
K2A,6,39,5,54.46,96,34,1,130,250,10,39.09846111,-96.56694444,
K2A,7,39,5,54.7,96,34,9.99,170,298,50,39.09852778,-96.56944167,
K2A,8,39,5,54.05,96,34,15.7,215,335,95,39.09834722,-96.57102778,
K2A,9,39,5,58.1,96,34,19.67,290,50,170,39.09947222,-96.57213056,
K2A,10,39,5,11.5,96,34,19.42,0,120,240,39.08652778,-96.57206111,
K2A,11,39,6,3.07,96,34,23.51,330,90,210,39.10085278,-96.57319722,
K2A,12,39,5,57.79,96,34,23.47,345,105,225,39.09938611,-96.57318611,
N2A,1,39,6,2.79,96,36,17.38,330,90,210,39.100775,-96.60482778,
N2A,2,39,5,57.58,96,36,18.35,90,210,330,39.09932778,-96.60509722,
N2A,3,39,5,56.7,96,36,20.9,65,185,305,39.09908333,-96.60580556,
N2A,4,39,5,52.65,96,36,18.22,60,180,300,39.09795833,-96.60506111,
N2A,5,39,5,51.11,96,36,21.59,275,35,155,39.09753056,-96.60599722,
N2A,6,39,5,47.64,96,36,18.72,350,110,230,39.09656667,-96.6052,
N2A,7,39,5,44.39,96,36,19.19,160,280,40,39.09566389,-96.60533056,
N2A,8,39,5,40.09,96,36,20.6,285,45,165,39.09446944,-96.60572222,
N2A,9,39,5,40.19,96,36,25.01,330,90,210,39.09449722,-96.60694722,
N2A,10,39,5,46.51,96,36,23.34,350,110,230,39.09625278,-96.60648333,
N2A,11,39,5,33.2,96,36,12.83,265,25,145,39.09255556,-96.60356389,
N2A,12,39,5,36.28,96,36,17.14,130,250,10,39.09341111,-96.60476111,
N2B,1,39,5,8.75,96,35,38.54,0,120,240,39.08576389,-96.59403889,
N2B,2,39,5,5.35,96,35,38.32,170,250,50,39.08481944,-96.59397778,
N2B,3,39,5,2.48,96,35,38.69,55,175,295,39.08402222,-96.59408056,
N2B,4,39,5,0.64,96,35,38.28,180,300,60,39.08351111,-96.59396667,
N2B,5,39,5,10.21,96,35,35.52,70,190,310,39.08616944,-96.5932,
N2B,6,39,5,15.85,96,35,28.63,180,300,60,39.08773611,-96.59128611,
N2B,7,39,5,17.13,96,35,25.2,20,140,260,39.08809167,-96.59033333,
N2B,8,39,5,20.91,96,35,21.87,0,120,240,39.08914167,-96.58940833,
N2B,9,39,5,22.68,96,35,16.57,125,245,5,39.08963333,-96.58793611,
N2B,10,39,5,24.23,96,35,14.39,310,70,190,39.09006389,-96.58733056,
N2B,11,39,5,20.82,96,35,17.51,185,340,65,39.08911667,-96.58819722,Moved due to woody removal
N2B,12,39,5,19.55,96,35,11.01,285,45,165,39.08876389,-96.58639167,
N2B,13,39,4,48.9,96,35,18.1,275,35,155,39.08025,-96.58836111,
N2B,14,39,4,52.2,96,35,17.2,135,255,15,39.08116667,-96.58811111,
N2B,15,39,4,55.7,96,35,14.4,65,185,305,39.08213889,-96.58733333,
N2B,16,39,4,58.2,96,35,16.4,160,280,40,39.08283333,-96.58788889,
N2B,17,39,5,0.7,96,35,18.4,285,45,165,39.08352778,-96.58844444,
N2B,18,39,5,2.4,96,35,14.2,-99,-99,-99,39.084,-96.58727778,
N2B,19,39,5,6.2,96,35,11.7,135,255,15,39.08505556,-96.58658333,
N2B,20,39,5,8.9,96,35,10.5,-99,-99,-99,39.08580556,-96.58625,
N2B,21,39,5,11.3,96,35,10,345,105,225,39.08647222,-96.58611111,
N2B,22,39,5,13.8,96,35,9.6,-99,-99,-99,39.08716667,-96.586,
N2B,23,39,5,15,96,35,8.1,20,140,260,39.0875,-96.58558333,
N2B,24,39,5,12.5,96,35,8.7,-99,-99,-99,39.08680556,-96.58575,
4F,1,39,4,26.44,96,34,13.48,105,225,345,39.07401111,-96.57041111,
4F,2,39,4,24.43,96,34,13.07,155,275,35,39.07345278,-96.57029722,
4F,3,39,4,22.23,96,34,11.81,90,210,330,39.07284167,-96.56994722,
4F,4,39,4,20.14,96,34,10.31,145,285,45,39.07226111,-96.56953056,
4F,5,39,4,17.45,96,34,11.52,270,30,150,39.07151389,-96.56986667,
4F,6,39,4,19.76,96,34,13.39,20,140,300,39.07215556,-96.57038611,
4F,7,39,4,19.75,96,34,16.25,320,80,200,39.07215278,-96.57118056,
4F,8,39,4,22.29,96,34,15.79,15,135,255,39.07285833,-96.57105278,
4F,9,39,4,24.75,96,34,16.13,20,140,260,39.07354167,-96.57114722,
4F,10,39,4,27.11,96,34,16,170,290,50,39.07419722,-96.57111111,
4F,11,39,4,17.27,96,34,14.85,220,340,100,39.07146389,-96.57079167,
4F,12,39,4,18.48,96,34,16.92,145,265,345,39.0718,-96.57136667,
K4A,1,39,5,56.9,96,35,10.21,80,200,320,39.09913889,-96.58616944,
K4A,2,39,5,53.29,96,35,3.48,145,265,25,39.09813611,-96.5843,
K4A,3,39,5,49.3,96,34,56.6,295,55,175,39.09702778,-96.58238889,
K4A,4,39,5,52.86,96,34,57.47,295,55,175,39.09801667,-96.58263056,
K4A,5,39,5,57.92,96,34,59.24,35,155,275,39.09942222,-96.58312222,
K4A,6,39,5,59.85,96,34,55.6,200,320,80,39.09995833,-96.58211111,
K4A,7,39,5,59.11,96,34,47.11,270,30,150,39.09975278,-96.57975278,
K4A,8,39,5,54.82,96,34,40.1,60,180,300,39.09856111,-96.57780556,
K4A,9,39,5,52.53,96,34,31.39,135,255,15,39.097925,-96.57538611,
K4A,10,39,5,48.24,96,34,26.11,0,120,240,39.09673333,-96.57391944,
K4A,11,39,6,2.07,96,34,59.63,245,5,125,39.100575,-96.58323056,
K4A,12,39,6,0.07,96,34,45.84,55,175,295,39.10001944,-96.5794,
N4D,1,39,4,43.62,96,35,18.27,150,270,30,39.07878333,-96.58840833,
N4D,2,39,4,46.01,96,35,12.81,285,45,165,39.07944722,-96.58689167,
N4D,3,39,4,47.6,96,35,11.06,210,330,90,39.07988889,-96.58640556,
N4D,4,39,4,49.92,96,35,10.09,35,155,275,39.08053333,-96.58613611,
N4D,5,39,4,53.26,96,35,6.65,195,315,75,39.08146111,-96.58518056,
N4D,6,39,4,58.73,96,35,2.41,270,30,150,39.08298056,-96.58400278,
N4D,7,39,5,2.01,96,35,1.97,285,45,165,39.08389167,-96.58388056,
N4D,8,39,5,6.45,96,35,2.88,75,195,315,39.085125,-96.58413333,
N4D,9,39,4,51.57,96,35,3.69,320,80,200,39.08099167,-96.58435833,
N4D,10,39,4,49.61,96,35,6.17,280,40,160,39.08044722,-96.58504722,
N4D,11,39,4,46.55,96,35,7.5,335,95,215,39.07959722,-96.58541667,
N4D,12,39,4,36.8,96,34,53.6,100,220,340,39.07688889,-96.58155556,
N4D,13,39,4,36.8,96,34,46.2,245,5,125,39.07688889,-96.5795,
N4D,14,39,5,8.2,96,34,48,210,330,90,39.08561111,-96.58,
N4D,15,39,4,44.5,96,34,45,160,280,40,39.07902778,-96.57916667,
N4D,16,39,4,46.3,96,34,47,0,20,240,39.07952778,-96.57972222,
N4D,17,39,4,49.3,96,34,50.3,330,90,210,39.08036111,-96.58063889,
N4D,18,39,4,56.2,96,34,53.4,110,230,350,39.08227778,-96.5815,
N4D,19,39,5,0.7,96,34,54.8,350,110,230,39.08352778,-96.58188889,
N4D,20,39,5,4.6,96,34,56.3,145,265,25,39.08461111,-96.58230556,
N4D,21,39,5,15,96,35,1,135,255,15,39.0875,-96.58361111,
N4D,22,39,5,12.6,96,35,2.2,325,95,210,39.08683333,-96.58394444,
N4D,23,39,5,10.6,96,35,2.4,220,340,100,39.08627778,-96.584,
N4D,24,39,5,9.6,96,35,2.2,355,115,325,39.086,-96.58394444,
4B,1,39,4,19.5,96,35,51.6,95,215,335,39.07208333,-96.59766667,
4B,2,39,4,20.4,96,35,49.1,200,320,80,39.07233333,-96.59697222,
4B,3,39,4,23.4,96,35,50.6,280,40,160,39.07316667,-96.59738889,
4B,4,39,4,25.9,96,35,46.9,300,60,180,39.07386111,-96.59636111,
4B,5,39,4,26.4,96,35,51.1,295,55,175,39.074,-96.59752778,
4B,6,39,4,30.3,96,35,50.6,160,280,40,39.07508333,-96.59738889,
4B,7,39,4,31.5,96,35,55.6,170,290,50,39.07541667,-96.59877778,
4B,8,39,4,27.6,96,35,57.1,80,200,320,39.07433333,-96.59919444,
4B,9,39,4,28.2,96,36,0.4,325,85,205,39.0745,-96.60011111,
4B,10,39,4,26,96,36,2.3,220,5,125,39.07388889,-96.60063889,
4B,11,39,4,24.5,96,36,0.6,330,90,210,39.07347222,-96.60016667,
4B,12,39,4,22.3,96,35,57.4,320,80,200,39.07286111,-96.59927778,
K1B,1,39,5,40.67,96,33,32.47,275,35,155,39.09463056,-96.55901944,
K1B,2,39,5,39.18,96,33,34.77,0,120,240,39.09421667,-96.55965833,
K1B,3,39,5,37.6,96,33,38.44,20,140,260,39.09377778,-96.56067778,
K1B,4,39,5,39.29,96,33,41.5,180,300,60,39.09424722,-96.56152778,
K1B,5,39,5,40.16,96,33,45.14,170,290,50,39.09448889,-96.56253889,
K1B,6,39,5,39.83,96,33,49.15,135,255,15,39.09439722,-96.56365278,
K1B,7,39,5,36.8,96,33,47.59,300,60,180,39.09355556,-96.56321944,
K1B,8,39,5,36.03,96,33,51.97,135,255,15,39.09334167,-96.56443611,
K1B,9,39,5,35.77,96,33,55.71,25,145,265,39.09326944,-96.565475,
K1B,10,39,5,33.61,96,33,55.04,330,90,210,39.09266944,-96.56528889,
K1B,11,39,5,45.56,96,34,10.5,160,280,40,39.09598889,-96.56958333,
K1B,12,39,5,43.6,96,34,6.44,315,75,195,39.09544444,-96.56845556,
1D,1,39,4,40.58,96,33,42.67,270,30,150,39.07793889,-96.56185278,
1D,2,39,4,38.63,96,33,42.93,185,305,65,39.07739722,-96.561925,
1D,3,39,4,36.23,96,33,39.93,300,60,180,39.07673056,-96.56109167,
1D,4,39,4,34,96,33,39.21,0,120,240,39.07611111,-96.56089167,
1D,5,39,4,31.46,96,33,39.31,55,175,295,39.07540556,-96.56091944,
1D,6,39,4,29.18,96,33,39.01,110,230,350,39.07477222,-96.56083611,
1D,7,39,4,25.04,96,33,39.96,130,250,10,39.07362222,-96.5611,
1D,8,39,4,28.23,96,33,43.27,130,250,10,39.07450833,-96.56201944,
1D,9,39,4,32,96,33,43.99,330,90,210,39.07555556,-96.56221944,
1D,10,39,4,35.09,96,33,34.99,35,185,305,39.07641389,-96.55971944,
1D,11,39,4,26.24,96,33,43.9,140,260,20,39.07395556,-96.56219444,
1D,12,39,4,31.04,96,33,46.58,190,310,70,39.07528889,-96.56293889,
N1B,1,39,5,14.72,96,34,40.82,255,15,135,39.08742222,-96.57800556,
N1B,2,39,5,11.54,96,34,40.52,200,320,80,39.08653889,-96.57792222,
N1B,3,39,5,7.85,96,34,37.6,135,255,15,39.08551389,-96.57711111,
N1B,4,39,5,2.63,96,34,34.9,265,25,145,39.08406389,-96.57636111,
N1B,5,39,4,57.05,96,34,32.8,355,115,235,39.08251389,-96.57577778,
N1B,6,39,4,53.6,96,34,30.41,200,320,80,39.08155556,-96.57511389,
N1B,7,39,4,47.89,96,34,28.97,310,70,190,39.07996944,-96.57471389,
N1B,8,39,4,49.73,96,34,25.44,280,40,160,39.08048056,-96.57373333,
N1B,9,39,4,48.69,96,34,18.86,255,345,105,39.08019167,-96.57190556,
N1B,10,39,4,45.83,96,34,16.07,355,115,235,39.07939722,-96.57113056,
N1B,11,39,4,43.74,96,34,15.23,160,280,40,39.07881667,-96.57089722,
N1B,12,39,4,53.98,96,34,25.35,110,230,350,39.08166111,-96.57370833,
N1B,13,39,5,2.99,96,34,28.85,345,105,225,39.08416389,-96.57468056,
N1B,14,39,5,5.91,96,34,29.25,395,55,175,39.084975,-96.57479167,
N1B,15,39,5,11.59,96,34,30.8,300,60,180,39.08655278,-96.57522222,
N1A,1,39,5,50.81,96,35,35.95,280,40,160,39.09744722,-96.59331944,
N1A,2,39,5,47.07,96,35,37.45,95,215,335,39.09640833,-96.59373611,
N1A,3,39,5,44.38,96,35,37.85,135,255,15,39.09566111,-96.59384722,
N1A,4,39,5,42.48,96,35,31.95,335,95,215,39.09513333,-96.59220833,
N1A,5,39,5,45.49,96,35,30.57,125,245,5,39.09596944,-96.591825,
N1A,6,39,5,44.88,96,35,28.25,110,230,350,39.0958,-96.59118056,
N1A,7,39,5,34.97,96,35,10.29,195,315,75,39.09304722,-96.58619167,
